Iters,Error
1,0.17201627751275672
5000,0.16767196651603553
10000,0.15693519255371913
15000,0.13379598529281664
20000,0.12589174426601735
25000,0.12358093956106032
30000,0.11621516830977092
35000,0.12746195072795935
40000,0.09420876652815521
45000,0.0894157648652667
50000,0.08778225209351562
55000,0.08643841062123274
60000,0.0823835789192957
65000,0.07897887791615045
70000,0.07613232344857782
75000,0.07464074153685012
80000,0.07351012381635146
85000,0.07234108039887227
90000,0.07117604178180853
95000,0.07044756078662576
100000,0.06895971706234111
